ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
826,1969,.059576608,.094369963,.13731466,.2024754,.17774865,.16286522,0,0,0,0,0,0,0,0,.020524457,.039847381,.02310965,.020493113,.0071020001,.005657,.010163,.0052029998
826,1970,.034793351,.077738047,.1428988,.11817206,.10328863,.13250643,0,0,0,0,0,0,0,0,.059576608,.020524457,.039847381,.02310965,.002231,.0071020001,.005657,.010163
826,1971,.0429447,.10810544,.083378702,.068495274,.097713076,.12234522,0,0,0,0,0,0,0,0,.034793351,.059576608,.020524457,.039847381,.0063069998,.002231,.0071020001,.005657
826,1972,.065160744,.040434003,.02555057,.054768376,.079400517,.12135337,0,0,0,0,0,0,0,0,.0429447,.034793351,.059576608,.020524457,.041542999,.0063069998,.002231,.0071020001
826,1973,-.024726741,-.039610174,-.01039237,.014239771,.056192622,.093547598,1,1,0,0,0,0,0,0,.065160744,.0429447,.034793351,.059576608,.036341999,.041542999,.0063069998,.002231
826,1974,-.014883432,.014334372,.038966514,.080919363,.11827434,.097862691,1,1,1,0,0,1,0,0,-.024726741,.065160744,.0429447,.034793351,.01131,.036341999,.041542999,.0063069998
826,1975,.029217804,.053849943,.095802791,.13315776,.11274612,.10495686,0,0,1,1,0,1,1,0,-.014883432,-.024726741,.065160744,.0429447,-.022324,.01131,.036341999,.041542999
826,1976,.024632141,.066584989,.10393997,.083528325,.075739063,.095895782,0,0,0,1,1,0,1,1,.029217804,-.014883432,-.024726741,.065160744,-.0063370001,-.022324,.01131,.036341999
826,1977,.041952848,.079307824,.05889618,.051106919,.071263641,.11346936,0,0,0,0,1,0,0,1,.024632141,.029217804,-.014883432,-.024726741,-.0034459999,-.0063370001,-.022324,.01131
826,1978,.037354976,.016943332,.0091540702,.029310789,.071516514,.094262183,0,0,0,0,0,0,0,0,.041952848,.024632141,.029217804,-.014883432,-.000734,-.0034459999,-.0063370001,-.022324
826,1979,-.020411644,-.028200906,-.008044187,.034161538,.056907207,.098780259,0,0,0,0,0,0,0,0,.037354976,.041952848,.024632141,.029217804,.029878,-.000734,-.0034459999,-.0063370001
826,1980,-.0077892621,.012367457,.054573182,.077318847,.1191919,.15072443,0,0,0,0,0,0,0,0,-.020411644,.037354976,.041952848,.024632141,.007669,.029878,-.000734,-.0034459999
826,1981,.020156719,.062362444,.085108116,.12698117,.1585137,.21210854,0,0,0,0,0,0,0,0,-.0077892621,-.020411644,.037354976,.041952848,.043134,.007669,.029878,-.000734
826,1982,.042205725,.06495139,.10682444,.13835697,.19195181,.24982581,0,0,0,0,0,0,0,0,.020156719,-.0077892621,-.020411644,.037354976,.050758999,.043134,.007669,.029878
826,1983,.022745669,.064618722,.096151248,.14974609,.20762008,.23344904,0,0,0,0,0,0,0,0,.042205725,.020156719,-.0077892621,-.020411644,.030912001,.050758999,.043134,.007669
826,1984,.041873053,.073405579,.12700042,.18487442,.21070337,.2178722,0,0,0,0,0,0,0,0,.022745669,.042205725,.020156719,-.0077892621,.048037998,.030912001,.050758999,.043134
826,1985,.031532522,.085127369,.14300136,.16883031,.17599913,.16480929,0,0,0,0,0,0,0,0,.041873053,.022745669,.042205725,.020156719,.033100002,.048037998,.030912001,.050758999
826,1986,.053594846,.11146884,.13729779,.14446662,.13327679,.13687551,0,0,0,0,0,0,0,0,.031532522,.041873053,.022745669,.042205725,.057541002,.033100002,.048037998,.030912001
826,1987,.057873998,.083702952,.090871781,.07968194,.083280668,.10835081,0,0,0,0,0,0,0,0,.053594846,.031532522,.041873053,.022745669,.042270001,.057541002,.033100002,.048037998
826,1988,.02582895,.03299778,.021807939,.025406662,.050476797,.089327544,0,0,0,0,0,0,0,0,.057873998,.053594846,.031532522,.041873053,.074445002,.042270001,.057541002,.033100002
826,1989,.0071688294,-.0040210113,-.00042228727,.024647849,.063498594,.088562325,0,0,0,0,0,0,0,0,.02582895,.057873998,.053594846,.031532522,.068328001,.074445002,.042270001,.057541002
826,1990,-.011189841,-.0075911167,.017479019,.056329764,.081393495,.10688084,0,0,0,0,0,0,0,0,.0071688294,.02582895,.057873998,.053594846,.030053999,.068328001,.074445002,.042270001
826,1991,.003598724,.02866886,.067519605,.092583336,.11807068,.14934246,0,0,0,0,0,0,0,0,-.011189841,.0071688294,.02582895,.057873998,-.0054049999,.030053999,.068328001,.074445002
826,1992,.025070136,.063920885,.088984616,.11447196,.14574374,.17765154,0,0,0,0,0,0,0,0,.003598724,-.011189841,.0071688294,.02582895,-.021736,-.0054049999,.030053999,.068328001
826,1993,.038850747,.063914478,.089401826,.12067361,.15258141,.1854149,0,0,0,0,0,0,0,0,.025070136,.003598724,-.011189841,.0071688294,-.030708,-.021736,-.0054049999,.030053999
826,1994,.025063729,.050551072,.081822857,.11373065,.14656414,.18401377,0,0,0,0,0,0,0,0,.038850747,.025070136,.003598724,-.011189841,-.01894,-.030708,-.021736,-.0054049999
826,1995,.025487345,.05675913,.088666923,.1215004,.15895003,.18621111,0,0,0,0,0,0,0,0,.025063729,.038850747,.025070136,.003598724,.011361,-.01894,-.030708,-.021736
826,1996,.031271785,.063179582,.096013069,.1334627,.16072378,.18469626,0,0,0,0,0,0,0,0,.025487345,.025063729,.038850747,.025070136,.001667,.011361,-.01894,-.030708
826,1997,.031907793,.064741276,.1021909,.12945198,.15342446,.18808684,0,0,0,0,0,0,0,0,.031271785,.025487345,.025063729,.038850747,-.022710999,.001667,.011361,-.01894
826,1998,.032833483,.070283107,.097544178,.12151666,.15617904,.18145782,0,0,0,0,0,0,0,0,.031907793,.031271785,.025487345,.025063729,.0091869999,-.022710999,.001667,.011361
826,1999,.037449624,.064710699,.088683181,.12334557,.14862435,.17834531,0,0,0,0,0,0,0,0,.032833483,.031907793,.031271785,.025487345,.030224999,.0091869999,-.022710999,.001667
826,2000,.027261073,.051233556,.085895941,.11117471,.14089566,.16592576,0,0,0,0,0,0,0,0,.037449624,.032833483,.031907793,.031271785,.036134999,.030224999,.0091869999,-.022710999
826,2001,.023972483,.05863487,.083913639,.11363459,.13866468,.16422287,0,0,0,0,0,0,0,0,.027261073,.037449624,.032833483,.031907793,.050028,.036134999,.030224999,.0091869999
826,2002,.034662388,.059941158,.089662112,.1146922,.14025038,.13397834,0,1,0,0,0,0,0,0,.023972483,.027261073,.037449624,.032833483,.054997001,.050028,.036134999,.030224999
826,2003,.025278771,.054999728,.080029815,.105588,.099315949,.05603857,0,0,0,0,0,1,0,0,.034662388,.023972483,.027261073,.037449624,.030306,.054997001,.050028,.036134999
826,2004,.029720956,.054751042,.080309235,.074037179,.0307598,.049911417,0,0,0,0,0,0,1,0,.025278771,.034662388,.023972483,.027261073,.039232999,.030306,.054997001,.050028
826,2005,.025030086,.050588276,.044316225,.0010388456,.020190464,.035281084,0,0,0,0,0,0,0,1,.029720956,.025278771,.034662388,.023972483,.029300001,.039232999,.030306,.054997001
826,2006,.02555819,.019286139,-.02399124,-.0048396215,.010250997,.023381181,0,0,0,0,0,0,0,0,.025030086,.029720956,.025278771,.034662388,.060681999,.029300001,.039232999,.030306
826,2007,-.0062720519,-.049549431,-.030397812,-.015307194,-.0021770084,.016933776,0,0,0,0,0,0,0,0,.02555819,.025030086,.029720956,.025278771,.055955999,.060681999,.029300001,.039232999
826,2008,-.043277379,-.02412576,-.0090351421,.0040950431,.023205828,.053910665,1,1,0,0,0,0,0,0,-.0062720519,.02555819,.025030086,.029720956,.024729,.055955999,.060681999,.029300001
826,2009,.019151619,.034242235,.047372419,.0664832,.097188041,.11913033,0,0,1,0,0,1,0,0,-.043277379,-.0062720519,.02555819,.025030086,.026089,.024729,.055955999,.060681999
826,2010,.015090618,.028220803,.047331586,.078036427,.099978715,.1180389,0,0,0,1,0,0,1,0,.019151619,-.043277379,-.0062720519,.02555819,-.16528,.026089,.024729,.055955999
826,2011,.013130185,.032240968,.062945805,.084888101,.10294829,,1,0,0,0,1,0,0,1,.015090618,.019151619,-.043277379,-.0062720519,-.058830999,-.16528,.026089,.024729
826,2012,.019110784,.049815621,.071757913,.089818098,,,0,0,1,0,0,0,0,0,.013130185,.015090618,.019151619,-.043277379,-.03703,-.058830999,-.16528,.026089
826,2013,.030704837,.052647129,.070707314,,,,0,0,0,1,0,0,0,0,.019110784,.013130185,.015090618,.019151619,-.046831999,-.03703,-.058830999,-.16528
842,1870,.044611823,.08465974,.13360764,.12735353,.17828295,.19012851,0,0,,,,,,,-.028625216,,,,,,,
842,1871,.040047918,.088995814,.082741708,.13367113,.14551669,.17738858,0,0,0,,,0,,,.044611823,-.028625216,,,,,,
842,1872,.048947897,.042693794,.093623213,.10546878,.13734066,.17831278,0,0,0,0,,0,0,,.040047918,.044611823,-.028625216,,,,,
842,1873,-.0062541035,.044675317,.056520879,.088392757,.12936488,.24552462,0,0,0,0,0,0,0,0,.048947897,.040047918,.044611823,-.028625216,,,,
842,1874,.05092942,.062774986,.094646864,.13561898,.25177872,.36313546,0,0,0,0,0,0,0,0,-.0062541035,.048947897,.040047918,.044611823,,,,
842,1875,.011845564,.043717444,.084689558,.20084929,.31220603,.34719694,0,0,0,0,0,0,0,0,.05092942,-.0062541035,.048947897,.040047918,,,,
842,1876,.031871878,.072843991,.18900374,.30036044,.33535135,.39725605,0,0,0,0,0,0,0,0,.011845564,.05092942,-.0062541035,.048947897,,,,
842,1877,.040972114,.15713185,.26848859,.30347949,.36538419,.38949761,0,0,0,0,0,0,0,0,.031871878,.011845564,.05092942,-.0062541035,,,,
842,1878,.11615974,.22751646,.26250738,.32441208,.34852549,.36639357,0,0,0,0,0,0,0,0,.040972114,.031871878,.011845564,.05092942,,,,
842,1879,.11135672,.14634764,.20825233,.23236576,.25023383,.25779498,0,0,0,0,0,0,0,0,.11615974,.040972114,.031871878,.011845564,,,,
842,1880,.034990914,.096895605,.12100903,.13887709,.14643823,.17612356,0,0,0,0,0,0,0,0,.11135672,.11615974,.040972114,.031871878,,,,
842,1881,.061904687,.086018115,.10388619,.11144733,.14113265,.18524033,0,0,0,0,0,0,0,0,.034990914,.11135672,.11615974,.040972114,-.000848,,,
842,1882,.024113424,.041981492,.049542632,.079227954,.12333564,.11866023,0,0,0,0,0,0,0,0,.061904687,.034990914,.11135672,.11615974,.0030159999,-.000848,,
842,1883,.017868068,.025429206,.05511453,.099222213,.094546802,.15479179,0,0,0,0,0,0,0,0,.024113424,.061904687,.034990914,.11135672,.014822,.0030159999,-.000848,
842,1884,.0075611384,.037246466,.081354149,.076678738,.13692373,.15116408,0,0,0,0,0,0,0,0,.017868068,.024113424,.061904687,.034990914,.014134,.014822,.0030159999,-.000848
842,1885,.029685326,.073793009,.069117598,.12936258,.14360294,.18606223,0,0,0,0,0,0,0,0,.0075611384,.017868068,.024113424,.061904687,.0073000002,.014134,.014822,.0030159999
842,1886,.044107683,.039432272,.099677265,.11391763,.15637691,.24895397,0,0,0,0,0,0,0,0,.029685326,.0075611384,.017868068,.024113424,.0045019998,.0073000002,.014134,.014822
842,1887,-.0046754088,.055569582,.069809943,.11226924,.20484629,.15521361,0,0,0,0,0,0,0,0,.044107683,.029685326,.0075611384,.017868068,.024269,.0045019998,.0073000002,.014134
842,1888,.060244989,.074485347,.11694464,.20952168,.159889,.13070628,0,0,0,0,0,0,0,0,-.0046754088,.044107683,.029685326,.0075611384,.0053810002,.024269,.0045019998,.0073000002
842,1889,.01424036,.056699648,.1492767,.09964402,.070461303,.18444066,0,0,0,0,0,0,0,0,.060244989,-.0046754088,.044107683,.029685326,.027604001,.0053810002,.024269,.0045019998
842,1890,.04245929,.13503633,.085403651,.056220934,.17020029,.14966558,0,0,0,0,0,0,0,0,.01424036,.060244989,-.0046754088,.044107683,.0056070001,.027604001,.0053810002,.024269
842,1891,.092577048,.042944361,.013761641,.12774099,.10720628,.19835857,0,0,0,0,0,0,0,0,.04245929,.01424036,.060244989,-.0046754088,.0084870001,.0056070001,.027604001,.0053810002
842,1892,-.049632687,-.078815408,.035163946,.014629241,.10578153,.12640077,0,0,0,0,0,0,0,0,.092577048,.04245929,.01424036,.060244989,.0026130001,.0084870001,.0056070001,.027604001
842,1893,-.029182719,.084796637,.064261928,.15541422,.17603347,.26304477,0,0,0,0,0,0,0,0,-.049632687,.092577048,.04245929,.01424036,.023808001,.0026130001,.0084870001,.0056070001
842,1894,.11397935,.093444645,.18459693,.20521617,.29222748,.31907478,0,0,0,0,0,0,0,0,-.029182719,-.049632687,.092577048,.04245929,.010911,.023808001,.0026130001,.0084870001
842,1895,-.020534705,.070617586,.09123683,.17824814,.20509544,.31177959,0,0,0,0,0,0,0,0,.11397935,-.029182719,-.049632687,.092577048,-.01932,.010911,.023808001,.0026130001
842,1896,.091152288,.11177152,.19878283,.22563013,.33231428,.34267712,0,0,0,0,0,0,0,0,-.020534705,.11397935,-.029182719,-.049632687,.024870999,-.01932,.010911,.023808001
842,1897,.02061924,.10763054,.13447784,.241162,.25152484,.29898161,0,0,0,0,0,0,0,0,.091152288,-.020534705,.11397935,-.029182719,-.013965,.024870999,-.01932,.010911
842,1898,.0870113,.1138586,.22054276,.23090559,.27836236,.26564133,0,0,0,0,0,0,0,0,.02061924,.091152288,-.020534705,.11397935,-.012382,-.013965,.024870999,-.01932
842,1899,.026847303,.13353145,.14389428,.19135106,.17863004,.24999094,0,0,0,0,0,0,0,0,.0870113,.02061924,.091152288,-.020534705,.01363,-.012382,-.013965,.024870999
842,1900,.10668416,.11704698,.16450375,.15178274,.22314364,.33220583,0,0,0,0,0,0,0,0,.026847303,.0870113,.02061924,.091152288,.003974,.01363,-.012382,-.013965
842,1901,.01036283,.057819594,.045098573,.11645948,.22552165,.24084319,0,0,0,0,0,0,0,0,.10668416,.026847303,.0870113,.02061924,.012404,.003974,.01363,-.012382
