COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,94,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,0,1359.517246047182,1359.132809888348,1357.150655819581,1355.780629938035,0,0,0,0
1,95,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,0,1362.197865081705,1359.517246047182,1359.132809888348,1357.150655819581,0,0,0,0
1,96,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,0,1364.457019310325,1362.197865081705,1359.517246047182,1359.132809888348,0,0,0,0
1,97,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,2,1365.88554320502,1364.457019310325,1362.197865081705,1359.517246047182,0,0,0,0
1,98,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,4,1367.311029437316,1365.88554320502,1364.457019310325,1362.197865081705,2,0,0,0
1,99,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1,1367.334476333822,1367.311029437316,1365.88554320502,1364.457019310325,4,2,0,0
1,100,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,0,1368.975344472971,1367.334476333822,1367.311029437316,1365.88554320502,1,4,2,0
1,101,1371.036424830048,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,0,1370.008658486405,1368.975344472971,1367.334476333822,1367.311029437316,0,1,4,2
1,102,1372.656556543318,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,0,1371.036424830048,1370.008658486405,1368.975344472971,1367.334476333822,0,0,1,4
1,103,1373.505060228781,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,0,1372.656556543318,1371.036424830048,1370.008658486405,1368.975344472971,0,0,0,1
1,104,1375.717454709468,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,0,1373.505060228781,1372.656556543318,1371.036424830048,1370.008658486405,0,0,0,0
1,105,1377.284242904338,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,,0,1375.717454709468,1373.505060228781,1372.656556543318,1371.036424830048,0,0,0,0
1,106,1378.391423454534,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,,,0,1377.284242904338,1375.717454709468,1373.505060228781,1372.656556543318,0,0,0,0
1,107,1379.310236037989,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,,,,,1378.391423454534,1377.284242904338,1375.717454709468,1373.505060228781,0,0,0,0
1,108,1380.64748476708,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,,,,,,1379.310236037989,1378.391423454534,1377.284242904338,1375.717454709468,,0,0,0
1,109,1382.011083355227,1382.950870227145,1384.075745911811,1385.808162138636,,,,,,,,,1380.64748476708,1379.310236037989,1378.391423454534,1377.284242904338,,,0,0
1,110,1382.950870227145,1384.075745911811,1385.808162138636,,,,,,,,,,1382.011083355227,1380.64748476708,1379.310236037989,1378.391423454534,,,,0
1,111,1384.075745911811,1385.808162138636,,,,,,,,,,,1382.950870227145,1382.011083355227,1380.64748476708,1379.310236037989,,,,
1,112,1385.808162138636,,,,,,,,,,,,1384.075745911811,1382.950870227145,1382.011083355227,1380.64748476708,,,,
2,41,1212.784231131731,1213.359025693081,1213.665300315913,1212.962376785615,1215.263408845859,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,0,1212.774693005986,1210.578977752824,1207.008314864127,1205.689915670433,0,0,0,0
2,42,1213.359025693081,1213.665300315913,1212.962376785615,1215.263408845859,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,0,1212.784231131731,1212.774693005986,1210.578977752824,1207.008314864127,0,0,0,0
2,43,1213.665300315913,1212.962376785615,1215.263408845859,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,0,1213.359025693081,1212.784231131731,1212.774693005986,1210.578977752824,0,0,0,0
2,44,1212.962376785615,1215.263408845859,1215.020655531962,1217.527252818973,1219.370672722315,1217.335850315151,1219.197369160706,1219.832102208645,1220.888425320934,1222.981505958584,1223.136923841942,0,1213.665300315913,1213.359025693081,1212.784231131731,1212.774693005986,0,0,0,0
